Kana,Romanji,English
あの,ano,um...
いま,ima,now
えいご,eego,english
がくせい,gakusee,student
〜ご,...go,language
こうこう,kookoo,high school
ごご,gogo,p.m.
ごぜん,gozen,a.m.
〜さい,...sai,...years old
〜さん,...san,mr.../ms...
〜じ,...ji,o'clock
〜じん,...jin,people
せんせい,sensei,teacher; Professor...
せんもん,senmon,major
そうです,soo desu,that's right.
だいがく,daigaku,university
でんわ,denwa,telephone
ともだち,tomodachi,friend
なまえ,namae,name
なん／なに,nan/nani,what
にほん,nihon,Japan
〜ねんせい,...nensee,...year student
はい,hai,yes
はん,han,half
ばんごう,bangoo,number
りゅうがくせい,ryuugakusee,international student
わたし,watashi,i
アメリカ,amerika,america
イギリス,igirisu,britain
オーストラリア,oosutoraria,australia
かんこく,kankoku,korea
スウェーデン,sueeden,sweden
ちゅうごく,chuugoku,china
かがく,kagaku,science
アジアけんきゅう,ajiakenkyuu,asian studies
こくさいかんけい,kokusaikankei,international relations
コンピューター,konpyuutaa,computer
じんるいがく,jinruigaku,anthropology
せいじ,seeji,politics
ビジネス,bijinesu,business
ぶんがく,bungaku,literature
れきし,rekishi,history
しごと,shigoto,job; work; occupation
いしゃ,isha,doctor
かいしゃいん,kaishain,office worker
こうこうせい,kookoosei,high school student
しゅふ,shufu,housewife
だいがくいんせい,daigakuinsee,graduate student
だいがくせい,daigakusee,college student
べんごし,bengoshi,lawyer
おかあさん,okaasan,mother
おとうさん,otoosan,father
おねえさん,oneesan,older sister
おにいさん,oniisan,older brother
いもうと,imooto,younger sister
おとうと,otooto,younger brother

Kana,Kanji,Romaji,English
これ,これ,kore,this one
それ,それ,sore,that one
あれ,あれ,are,that one [over there]
どれ,どれ,dore,which one
この,この,kono,this...
その,その,sono,that...
あの,あの,ano,that... [over there]
どの,どの,dono,which...
あそこ,あそこ,asoko,over there
どこ,どこ,doko,where
だれ,だれ,dare,who
おいしい,おいしい,oishii,delicious
さかな,魚,sakana,fish
とんかつ,とんかつ,tonkatsu,pork cutlet
にく,肉,niku,meat
メニュー,メニュー,menyuu,menu
やさい,野菜,yasai,vegetable
えんぴつ,鉛筆,enpitsu,pencil
かさ,傘,kasa,umbrella
かばん,かばん,kaban,bag
くつ,靴,kutsu,shoes
さいふ,財布,saifu,wallet
ジーンズ,ジーンズ,jiinzu,jeans
じしょ,辞書,jisho,dictionary
じてんしゃ,自転車,jitensha,bicycle
しんぶん,新聞,shinbun,newspaper
テープ,テープ,teepu,tape
とけい,時計,tokee,watch; clock
トレーナー,トレーナー,toreenaa,sweat shirt
ノート,ノート,nooto,notebook
ペン,ペン,pen,pen
ぼうし,帽子,booshi,hat; cap
ほん,本,hon,book
おてあらい,お手洗い,otearai,restroom
きっさてん,喫茶店kissaten,cafe
ぎんこう,銀行,ginkoo,bank
としょかん,図書館,toshokan,library
ゆうびんきょく,郵便局,yuubinkyoku,post office
けいざい,経済,keezai,economics
いくら,いくら,ikura,how much
〜えん,〜円,...en,...yen
たかい,高い,takai,expensive
いらっしゃいませ,いらっしゃいませ,irasshaimase,welcome [to our store]
（〜を）おねがいします,（〜を）おねがいします,(...o) onegaishimasu,...please
（〜を）ください,(...o) kudasai,please give me...
じゃあ,じゃあ,jaa,then...; if that is the case...
（〜を）どうぞ,（〜を）どうぞ,(...o),doozo; here it is
どうも,どうも,doomo,thank you

Kana,Kanji,English
えいが,映画,movie
おんがく,音楽,music
ざっし,雑誌,magazine
スポーツ,スポーツ,sports
デート,デート,date,[romantic]
テニス,テニス,tennis
テレビ,テレビ,TV
ビデオ,ビデオ,video tape; vcr
あさごはん,朝御飯,breakfast
おさけ,お酒,sake; alcohol
おちゃ,お茶,green tea
コーヒー,コーヒー,coffee
ばんごはん,晩御飯,dinner
ハンバーガー,ハンバーガー,hamburger
ひるごはん,昼御飯,lunch
みず,水,water
いえ,家,home; house
うち,家,home; house; my place
LL（エルエル）,LL（エルエル）,language lab
がっこう,学校,school
あさ,朝,morning
あした,あした,tomorrow
いつ,いつwhen
きょう,きょう,今日,today
〜ごろ,〜ごろ,at about
こんばん,今晩,tonight
しゅうまつ,週末,weekend
どようび,土曜日,Saturday
にちようび,日曜日,Sunday
まいにち,毎日,every day
まいばん,毎晩,every night
いく,行く,to go
かえる,帰る,to go back; to return
きく,聞く,to listen; to hear
のむ,飲む,to drink
はなす,話す,to speak; to talk
よむ,読む,to read
おきる,起きる,to get up
たべる,食べる,to eat
ねる,寝る,to sleep; to go to sleep
みる,見る,to see; to look at; to watch
くる,来る,to come
する,する,to do
べんきょうする,勉強する,to study
いい,いい,good
はやい,早い,early
あまり+ negative,あまり,not much
ぜんぜん + negative,全然,not at all
たいてい,大抵,usually
ちょっと,ちょっと,a little
ときどき,時々,sometimes
よく,よく,often; much
そうですね,そうですね,that's right; let me see
でも,でも,but
どうですか,どうですか,how about...; how is...

Kana,Kanji,English
アルバイト,,part-time job
かいもの,買い物,shopping
クラス,,class
あなた,,you
いぬ,犬,dog
おみやげ,お土産,souvenir
こども,子供,child
ごはん,御飯,rice; meal
しゃしん,写真,picture; photograph
つくえ,机,desk
てがみ,手紙,letter
ねこ,猫,cat
パン,bread
ひと,人,person
おてら,お寺,temple
こうえん,公園,park
スーパー,,supermarket
デパート,,department store
バスてい,バス停,bus stop
びょういん,病院,hospital
ホテル,,hotel
ほんや,本屋,bookstore
まち,町,town; city
レストラン,,restaurant
きのう,昨日,yesterday
さっき,a little while ago
〜じかん,〜時間,hour
いちじかん,一時間,one hour
せんしゅう,先週,last week
とき,時,when...; at the time of...
かようび,火曜日,Tuesday
すいようび,水曜日,Wednesday
もくようび,木曜日,Thursday
きんようび,金曜日,Friday
あう,会う,to meet; to see [a person]
ある,,there is...
かう,買う,to buy
かく,書く,to write
とる,撮る,to take [pictures]
まつ,待つ,to wait
わかる,,to understand
いる,,[a person] is in...; stays at...
